monthly_wage_gross,monthly_wage_net,x2,x1,x3,hh_size,weight,age,lfs_working,lfs_unemployed,y,netwage,part,x0,y0,w
NA,NA,1,11.5,0,3,824.46002,63,0,0,0,0,FALSE,1,0,1
900,500,1,12,0,3,1887.8,44,1,0,900,500,TRUE,1,0,1
3500,3000,0,13.5,0,3,4635.0601,46,1,0,3500,3000,TRUE,1,0,1
1631,1200,1,9,1,2,880.98999,48,1,0,1631,1200,TRUE,1,0,1
2100,1550,0,9,0,5,877.62,50,1,0,2100,1550,TRUE,1,0,1
240,240,1,9,0,5,821.72998,49,1,0,240,240,TRUE,1,0,1
3500,1900,1,11.5,1,5,703.96002,23,1,0,3500,1900,TRUE,1,0,1
750,750,1,12,1,1,671.14001,21,1,0,750,750,TRUE,1,0,1
NA,NA,0,12,0,1,1328.92,65,0,1,0,0,FALSE,1,0,1
1500,1200,1,12,0,2,336.39999,60,1,0,1500,1200,TRUE,1,0,1
1730,1000,1,9,0,4,1852.6899,48,1,0,1730,1000,TRUE,1,0,1
4800,4300,0,12,0,4,1854.4301,49,1,0,4800,4300,TRUE,1,0,1
890,713,1,10,1,4,1458.33,19,1,0,890,713,TRUE,1,0,1
1500,1170,1,9,1,3,2889.5901,36,1,0,1500,1170,TRUE,1,0,1
3500,2400,0,12,0,3,262.73999,48,1,0,3500,2400,TRUE,1,0,1
2700,2200,0,12,1,5,957.46997,48,1,0,2700,2200,TRUE,1,0,1
2350,1700,1,12,0,4,2362.8201,41,1,0,2350,1700,TRUE,1,0,1
3500,2500,0,10.5,0,4,2325.1699,48,1,0,3500,2500,TRUE,1,0,1
3600,2250,0,9,0,3,336.66,49,1,0,3600,2250,TRUE,1,0,1
NA,NA,1,12,0,3,255.88,45,0,0,0,0,FALSE,1,0,1
2700,2000,0,9,0,4,147.96001,38,1,0,2700,2000,TRUE,1,0,1
NA,NA,1,12,0,4,139.53999,30,0,0,0,0,FALSE,1,0,1
4500,2800,1,10.5,1,2,4537.27,51,1,0,4500,2800,TRUE,1,0,1
2500,1500,1,11,0,3,1111.4301,47,1,0,2500,1500,TRUE,1,0,1
3200,2200,0,10.5,0,3,4237.04,53,1,0,3200,2200,TRUE,1,0,1
960,760,1,9,1,3,1785.39,18,1,0,960,760,TRUE,1,0,1
1100,700,1,10.5,0,4,173.89,44,1,0,1100,700,TRUE,1,0,1
4800,2800,0,12,0,4,415.92001,58,1,0,4800,2800,TRUE,1,0,1
800,580,1,10.5,0,3,136.84,32,1,0,800,580,TRUE,1,0,1
2800,2000,0,7,0,3,150.75,41,1,0,2800,2000,TRUE,1,0,1
NA,NA,1,12,0,2,865.64001,58,0,0,0,0,FALSE,1,0,1
3000,1700,1,12,0,4,3787.95,51,1,0,3000,1700,TRUE,1,0,1
2800,2000,0,10.5,0,4,6244.6099,52,1,0,2800,2000,TRUE,1,0,1
NA,NA,0,12,1,4,5994.6802,20,0,0,0,0,FALSE,1,0,1
