monthly_wage_gross,monthly_wage_net,x2,x1,x3,hh_size,weight,age,lfs_working,lfs_unemployed,y,netwage,part,x0,y0,w
NA,NA,0,11,0,2,1053.95,64,0,0,0,0,FALSE,1,0,1
2000,1600,1,10.5,0,2,929.60999,63,1,0,2000,1600,TRUE,1,0,1
4600,3300,0,11.5,1,2,175.82001,50,1,0,4600,3300,TRUE,1,0,1
3000,1900,1,11.5,1,1,6372.4902,56,1,0,3000,1900,TRUE,1,0,1
4250,2780,1,15,0,3,5009.6201,38,1,0,4250,2780,TRUE,1,0,1
3500,2200,0,15,0,4,4291.7202,47,1,0,3500,2200,TRUE,1,0,1
4388,3050,1,18,1,1,4498.75,56,1,0,4388,3050,TRUE,1,0,1
NA,NA,1,13,0,2,990.97998,59,0,0,0,0,FALSE,1,0,1
451,261,1,13,1,2,655.39001,27,1,0,451,261,TRUE,1,0,1
NA,NA,0,10,1,2,2526.05,57,0,1,0,0,FALSE,1,0,1
1800,1300,0,9,1,2,3545.0901,28,1,0,1800,1300,TRUE,1,0,1
137,137,1,9,1,2,5504.3301,60,1,0,137,137,TRUE,1,0,1
NA,NA,0,15,1,1,3352.1599,65,0,0,0,0,FALSE,1,0,1
2016,1396,0,11.5,0,2,3765.29,50,1,0,2016,1396,TRUE,1,0,1
2700,1800,1,11.5,0,4,1127.2,49,1,0,2700,1800,TRUE,1,0,1
2154,1430,0,11.5,1,1,3576.8301,59,1,0,2154,1430,TRUE,1,0,1
3500,1800,1,14.5,1,4,304.53,47,1,0,3500,1800,TRUE,1,0,1
2300,1700,1,14.5,1,1,2675.1899,55,1,0,2300,1700,TRUE,1,0,1
4500,2700,1,13,1,2,1351.6899,31,1,0,4500,2700,TRUE,1,0,1
1750,1250,0,13,1,1,4766.2598,29,1,0,1750,1250,TRUE,1,0,1
2500,1700,1,14.5,1,2,3340.03,24,1,0,2500,1700,TRUE,1,0,1
1400,1013,1,10.5,0,4,2116.27,42,1,0,1400,1013,TRUE,1,0,1
3000,2000,0,18,0,3,1890.54,60,1,0,3000,2000,TRUE,1,0,1
2100,1500,1,14,0,3,772.84003,58,1,0,2100,1500,TRUE,1,0,1
NA,NA,0,13,1,3,2418.4399,21,0,0,0,0,FALSE,1,0,1
3500,2800,0,12,0,2,8439.96,62,1,0,3500,2800,TRUE,1,0,1
2800,1500,1,10,0,2,1819.84,64,1,0,2800,1500,TRUE,1,0,1
2500,1700,0,10.5,1,1,5792.4502,61,1,0,2500,1700,TRUE,1,0,1
450,432,1,11,0,2,7912.9199,56,1,0,450,432,TRUE,1,0,1
3900,2100,0,11,0,4,1561.27,50,1,0,3900,2100,TRUE,1,0,1
840,574,1,10.5,0,4,2565.48,47,1,0,840,574,TRUE,1,0,1
600,480,0,10,1,4,3406.6899,21,1,0,600,480,TRUE,1,0,1
750,450,1,10.5,0,4,649.02002,49,1,0,750,450,TRUE,1,0,1
2970,1870,1,11.5,1,2,12432.28,30,1,0,2970,1870,TRUE,1,0,1
4190,2450,1,14.5,1,1,3124.47,42,1,0,4190,2450,TRUE,1,0,1
3190,1900,1,11.5,0,2,3806.22,36,1,0,3190,1900,TRUE,1,0,1
4824,3994,0,11.5,0,2,2929.3,62,1,0,4824,3994,TRUE,1,0,1
3200,1534,1,12,0,2,2667.8601,56,1,0,3200,1534,TRUE,1,0,1
515,405,1,15,1,1,10140.66,29,1,0,515,405,TRUE,1,0,1
2300,1500,0,10.5,1,1,7358.4302,64,1,0,2300,1500,TRUE,1,0,1
2380,1695,0,10.5,0,4,185.24001,50,1,0,2380,1695,TRUE,1,0,1
1791,1289,1,11.5,1,2,185.92999,63,1,0,1791,1289,TRUE,1,0,1
4790,2860,0,13,1,1,5000.1001,39,1,0,4790,2860,TRUE,1,0,1
3570,2464,1,9,1,1,4101.5298,63,1,0,3570,2464,TRUE,1,0,1
2100,1212,1,14.5,0,3,4687.3501,50,1,0,2100,1212,TRUE,1,0,1
4170,3565,1,15,0,2,6905.3799,57,1,0,4170,3565,TRUE,1,0,1
1800,1300,1,11.5,0,3,5724.1299,34,1,0,1800,1300,TRUE,1,0,1
2346,1644,1,12,1,2,1145.6,52,1,0,2346,1644,TRUE,1,0,1
3000,1900,1,18,0,2,3648.1101,60,1,0,3000,1900,TRUE,1,0,1
1000,700,0,16,0,3,3024.3401,60,1,0,1000,700,TRUE,1,0,1
NA,NA,0,12,1,1,3392.3401,64,0,0,0,0,FALSE,1,0,1
NA,NA,1,13.5,1,1,6309.23,56,0,0,0,0,FALSE,1,0,1
1000,600,0,10.5,1,1,3248.1001,62,1,0,1000,600,TRUE,1,0,1
2890,2206,1,9,1,2,3638.5801,57,1,0,2890,2206,TRUE,1,0,1
2541,1637,0,15,1,2,7737.6099,31,1,0,2541,1637,TRUE,1,0,1
3099,2800,0,18,0,3,530,60,1,0,3099,2800,TRUE,1,0,1
4192,2938,1,11.5,0,3,1137.52,49,1,0,4192,2938,TRUE,1,0,1
2895,1971,1,10,1,2,9990.1104,43,1,0,2895,1971,TRUE,1,0,1
1700,950,1,11.5,0,3,904.78998,52,1,0,1700,950,TRUE,1,0,1
4240,2537,1,18,0,2,6153.9702,53,1,0,4240,2537,TRUE,1,0,1
NA,NA,0,10.5,1,3,797.10999,56,0,1,0,0,FALSE,1,0,1
1650,940,1,12,0,4,668.21997,52,1,0,1650,940,TRUE,1,0,1
3000,3000,0,10.5,0,4,149.10001,47,1,0,3000,3000,TRUE,1,0,1
1900,1380,1,10.5,1,2,3449.6201,56,1,0,1900,1380,TRUE,1,0,1
450,450,1,11.5,0,3,514.14001,43,1,0,450,450,TRUE,1,0,1
NA,NA,0,13.5,0,2,503.23001,64,0,0,0,0,FALSE,1,0,1
NA,NA,1,11.5,0,2,443.85999,62,0,0,0,0,FALSE,1,0,1
1300,480,0,18,1,1,3695.54,64,1,0,1300,480,TRUE,1,0,1
3050,2000,1,12,0,2,159.05,62,1,0,3050,2000,TRUE,1,0,1
2448,1646,1,13,1,2,470.23999,57,1,0,2448,1646,TRUE,1,0,1
NA,NA,1,14.5,0,2,1212.46,61,0,0,0,0,FALSE,1,0,1
NA,NA,1,18,0,5,10040.21,35,0,0,0,0,FALSE,1,0,1
NA,NA,0,18,1,1,9771.25,31,0,0,0,0,FALSE,1,0,1
4000,2400,0,10.5,1,1,1256.09,54,1,0,4000,2400,TRUE,1,0,1
1350,902,1,11.5,0,4,3862.8501,50,1,0,1350,902,TRUE,1,0,1
NA,NA,1,15,0,2,310.22,62,0,0,0,0,FALSE,1,0,1
3518,2450,1,12,0,2,476.73001,62,1,0,3518,2450,TRUE,1,0,1
2750,2600,0,11.5,0,2,2948.3101,39,1,0,2750,2600,TRUE,1,0,1
4095,2455,1,11,1,2,796.90997,36,1,0,4095,2455,TRUE,1,0,1
2554,1379,1,16,0,4,1110.23,56,1,0,2554,1379,TRUE,1,0,1
4300,3800,0,12,0,3,3188.3,56,1,0,4300,3800,TRUE,1,0,1
NA,NA,0,10.5,0,4,1547.08,54,0,0,0,0,FALSE,1,0,1
3250,2200,0,11.5,0,3,10329.9,55,1,0,3250,2200,TRUE,1,0,1
1000,850,0,13.5,1,3,5791.9502,52,1,0,1000,850,TRUE,1,0,1
4100,2450,0,11.5,1,1,9407.29,48,1,0,4100,2450,TRUE,1,0,1
NA,NA,0,9,1,4,43.93,59,0,0,0,0,FALSE,1,0,1
1700,1250,1,10.5,1,3,118.1,56,1,0,1700,1250,TRUE,1,0,1
1605,968,1,18,0,2,477.26999,62,1,0,1605,968,TRUE,1,0,1
NA,NA,0,10.5,1,1,723.15997,65,0,0,0,0,FALSE,1,0,1
4100,2500,1,10.5,0,2,1114.73,64,1,0,4100,2500,TRUE,1,0,1
3250,2200,1,11.5,0,4,180.42,42,1,0,3250,2200,TRUE,1,0,1
1882,100,0,7,0,3,88.290001,51,1,0,1882,100,TRUE,1,0,1
NA,NA,1,10,0,7,82.870003,38,0,1,0,0,FALSE,1,0,1
3000,2600,0,15,1,1,151.38,47,1,0,3000,2600,TRUE,1,0,1
3353,2300,0,13,1,3,332.13,44,1,0,3353,2300,TRUE,1,0,1
NA,NA,1,10.5,0,2,1402.36,61,0,0,0,0,FALSE,1,0,1
2100,1381,1,11.5,1,1,4802.96,42,1,0,2100,1381,TRUE,1,0,1
3260,2115,1,11.5,0,2,1896.12,58,1,0,3260,2115,TRUE,1,0,1
4199,450,0,11,0,2,3740.1699,65,1,0,4199,450,TRUE,1,0,1
NA,NA,1,10.5,0,2,3488.28,62,0,0,0,0,FALSE,1,0,1
3300,2540,0,11.5,0,4,1775.89,38,1,0,3300,2540,TRUE,1,0,1
2400,1600,0,10.5,1,1,7828.54,59,1,0,2400,1600,TRUE,1,0,1
NA,NA,1,9,1,1,753.17999,64,0,0,0,0,FALSE,1,0,1
4900,2700,0,9,0,3,2191.1101,39,1,0,4900,2700,TRUE,1,0,1
NA,NA,1,12,0,2,230.72,64,0,0,0,0,FALSE,1,0,1
2889,1872,0,11.5,1,1,1282.36,46,1,0,2889,1872,TRUE,1,0,1
4000,2300,1,18,1,4,832.29999,43,1,0,4000,2300,TRUE,1,0,1
NA,NA,0,11.5,1,1,5565.3198,54,0,0,0,0,FALSE,1,0,1
1276,850,1,12,0,3,2060.3201,57,1,0,1276,850,TRUE,1,0,1
3403,2403,0,11,0,3,2262.22,63,1,0,3403,2403,TRUE,1,0,1
100,100,0,10,1,3,2718.03,19,1,0,100,100,TRUE,1,0,1
1407,1100,1,11.5,0,2,4145.1499,62,1,0,1407,1100,TRUE,1,0,1
1800,1400,1,18,1,3,229.36,40,1,0,1800,1400,TRUE,1,0,1
1440,1100,1,11.5,1,2,284.81,49,1,0,1440,1100,TRUE,1,0,1
2250,1540,1,12,0,4,1179.1,47,1,0,2250,1540,TRUE,1,0,1
450,450,0,12,0,3,2348.6499,52,1,0,450,450,TRUE,1,0,1
780,586,1,18,0,3,1024.45,51,1,0,780,586,TRUE,1,0,1
1100,698,1,11.5,0,4,1828.3199,51,1,0,1100,698,TRUE,1,0,1
2600,1900,1,15,1,1,6859.9902,57,1,0,2600,1900,TRUE,1,0,1
2915,1930,0,10.5,1,2,863.15997,55,1,0,2915,1930,TRUE,1,0,1
3500,2481,0,14.5,0,4,142.82001,42,1,0,3500,2481,TRUE,1,0,1
4800,3500,1,16,0,2,2907.3601,55,1,0,4800,3500,TRUE,1,0,1
1900,1400,0,16,1,2,3773.3799,47,1,0,1900,1400,TRUE,1,0,1
1500,1000,0,10.5,1,1,216.59,45,1,0,1500,1000,TRUE,1,0,1
2475,1730,1,11.5,1,1,1583.73,61,1,0,2475,1730,TRUE,1,0,1
NA,NA,0,14,1,1,7379.6201,63,0,0,0,0,FALSE,1,0,1
4701,2500,1,14.5,1,1,6618.5098,48,1,0,4701,2500,TRUE,1,0,1
NA,NA,0,9,0,3,9051.9004,60,0,0,0,0,FALSE,1,0,1
2400,1600,1,15,0,2,1413.22,51,1,0,2400,1600,TRUE,1,0,1
3100,2300,1,14,0,3,85.260002,49,1,0,3100,2300,TRUE,1,0,1
2950,1708,0,11,1,3,1434.11,57,1,0,2950,1708,TRUE,1,0,1
NA,NA,1,10.5,0,2,1168.03,59,0,0,0,0,FALSE,1,0,1
2400,1600,0,15,0,3,1117.15,31,1,0,2400,1600,TRUE,1,0,1
NA,NA,0,11.5,0,3,264.57001,51,0,1,0,0,FALSE,1,0,1
4305,2619,1,15,1,2,2641.52,30,1,0,4305,2619,TRUE,1,0,1
NA,NA,1,12,1,1,2214.1001,60,0,0,0,0,FALSE,1,0,1
3941,2405,0,18,1,1,13668.7,32,1,0,3941,2405,TRUE,1,0,1
3500,2500,0,9,0,3,186.78,39,1,0,3500,2500,TRUE,1,0,1
NA,NA,0,9,1,2,4207.6802,63,0,0,0,0,FALSE,1,0,1
4400,2700,0,14,0,3,2142.8501,63,1,0,4400,2700,TRUE,1,0,1
1560,959,1,12,0,3,975.79999,57,1,0,1560,959,TRUE,1,0,1
3802,2319,1,14.5,1,1,1057.33,28,1,0,3802,2319,TRUE,1,0,1
380,380,0,13,1,3,3350,26,1,0,380,380,TRUE,1,0,1
NA,NA,1,10.5,0,2,70.510002,58,0,0,0,0,FALSE,1,0,1
3500,2087,0,14.5,1,1,418.14999,28,1,0,3500,2087,TRUE,1,0,1
2000,1600,1,13.5,1,2,392.67001,54,1,0,2000,1600,TRUE,1,0,1
2500,1600,0,12,0,2,5082.1299,62,1,0,2500,1600,TRUE,1,0,1
1500,900,1,10.5,0,2,4628.5498,58,1,0,1500,900,TRUE,1,0,1
NA,NA,0,10.5,0,2,1192.88,64,0,0,0,0,FALSE,1,0,1
1200,1000,0,13,1,1,4816.73,34,1,0,1200,1000,TRUE,1,0,1
620,519,1,10.5,0,2,1158.24,62,1,0,620,519,TRUE,1,0,1
NA,NA,1,10.5,1,1,6689.8999,65,0,0,0,0,FALSE,1,0,1
NA,NA,1,11,1,1,6847.4199,56,0,0,0,0,FALSE,1,0,1
4500,3650,0,18,0,2,811.94,52,1,0,4500,3650,TRUE,1,0,1
NA,NA,0,15,1,1,7139.3301,63,0,1,0,0,FALSE,1,0,1
4022,2550,1,18,0,4,2595.02,46,1,0,4022,2550,TRUE,1,0,1
1400,850,1,13,0,3,819.84003,43,1,0,1400,850,TRUE,1,0,1
2716,1415,1,12,0,3,50.82,34,1,0,2716,1415,TRUE,1,0,1
NA,NA,1,11.5,1,1,4740,61,0,0,0,0,FALSE,1,0,1
3090,2319,1,12,1,2,369.34,50,1,0,3090,2319,TRUE,1,0,1
2950,1620,1,11.5,0,2,7112.3799,56,1,0,2950,1620,TRUE,1,0,1
3963,2434,1,16,1,1,244.3,59,1,0,3963,2434,TRUE,1,0,1
NA,NA,0,11.5,0,2,780.73999,64,0,0,0,0,FALSE,1,0,1
450,430,1,11.5,0,2,688.63,63,1,0,450,430,TRUE,1,0,1
1500,1100,0,10,0,3,4404.9102,36,1,0,1500,1100,TRUE,1,0,1
4800,2700,1,11.5,1,2,2582.53,31,1,0,4800,2700,TRUE,1,0,1
1400,896,1,13.5,0,2,2945.9099,53,1,0,1400,896,TRUE,1,0,1
3700,1990,1,12,0,2,551.17999,60,1,0,3700,1990,TRUE,1,0,1
NA,NA,1,12,0,2,189.78,61,0,0,0,0,FALSE,1,0,1
2700,2000,0,10.5,0,3,348.57999,60,1,0,2700,2000,TRUE,1,0,1
NA,NA,1,14,0,3,139.56,54,0,0,0,0,FALSE,1,0,1
4400,2615,1,10.5,1,2,530.90002,58,1,0,4400,2615,TRUE,1,0,1
2100,1455,1,13,1,2,2284.6799,29,1,0,2100,1455,TRUE,1,0,1
NA,NA,0,10,1,2,1397.54,37,0,1,0,0,FALSE,1,0,1
NA,NA,0,10.5,1,1,1684.5601,57,0,0,0,0,FALSE,1,0,1
4400,2550,1,11.5,0,2,5035.2402,56,1,0,4400,2550,TRUE,1,0,1
NA,NA,0,12,0,3,6443.4199,33,0,1,0,0,FALSE,1,0,1
4200,2600,1,12,0,2,1573.55,45,1,0,4200,2600,TRUE,1,0,1
NA,NA,0,10,1,3,2773.46,29,0,1,0,0,FALSE,1,0,1
450,438,0,16,0,6,879.25,55,1,0,450,438,TRUE,1,0,1
3774,2559,1,18,1,1,4578.02,52,1,0,3774,2559,TRUE,1,0,1
3660,1790,1,18,0,3,311.53,55,1,0,3660,1790,TRUE,1,0,1
NA,NA,1,10.5,0,2,2113.6899,64,0,0,0,0,FALSE,1,0,1
4800,3100,0,12,0,2,8476.6699,60,1,0,4800,3100,TRUE,1,0,1
1600,850,1,12,0,2,3465.1899,56,1,0,1600,850,TRUE,1,0,1
NA,NA,0,14.5,1,1,6086.9399,29,0,0,0,0,FALSE,1,0,1
NA,NA,1,18,1,1,8787.0303,27,0,0,0,0,FALSE,1,0,1
NA,NA,0,11.5,1,1,7095.27,62,0,0,0,0,FALSE,1,0,1
4200,2438,0,11.5,0,2,3737.27,57,1,0,4200,2438,TRUE,1,0,1
2200,1900,0,18,0,5,76.959999,59,1,0,2200,1900,TRUE,1,0,1
NA,NA,1,18,1,3,7665.29,43,0,0,0,0,FALSE,1,0,1
4000,2200,1,18,0,2,1522.88,59,1,0,4000,2200,TRUE,1,0,1
1600,750,0,18,0,2,3344.23,64,1,0,1600,750,TRUE,1,0,1
4030,2480,0,12,0,2,1415.7,51,1,0,4030,2480,TRUE,1,0,1
380,350,0,10.5,0,2,373.45999,61,1,0,380,350,TRUE,1,0,1
NA,NA,1,11.5,0,3,774.89001,53,0,0,0,0,FALSE,1,0,1
4500,3000,1,12,1,2,2183.52,24,1,0,4500,3000,TRUE,1,0,1
1100,900,0,10,1,3,931.15997,19,1,0,1100,900,TRUE,1,0,1
2400,1850,0,10.5,0,3,775.01001,61,1,0,2400,1850,TRUE,1,0,1
4600,3000,1,11.5,1,2,988.47998,30,1,0,4600,3000,TRUE,1,0,1
3000,1950,0,17,1,1,3217.3999,33,1,0,3000,1950,TRUE,1,0,1
3400,2000,0,18,0,2,913.71002,58,1,0,3400,2000,TRUE,1,0,1
4800,1850,1,11.5,1,2,8354.3301,55,1,0,4800,1850,TRUE,1,0,1
4220,2400,1,10.5,0,2,673.17999,63,1,0,4220,2400,TRUE,1,0,1
4500,2600,1,18,1,1,220.21001,40,1,0,4500,2600,TRUE,1,0,1
450,450,1,12,0,3,1803.2,57,1,0,450,450,TRUE,1,0,1
4200,2400,0,16,1,1,3295.71,26,1,0,4200,2400,TRUE,1,0,1
NA,NA,1,13,1,3,2509.6399,22,0,0,0,0,FALSE,1,0,1
3200,2000,1,11.5,1,3,664.67999,51,1,0,3200,2000,TRUE,1,0,1
2500,1300,1,16,0,4,7954.8198,36,1,0,2500,1300,TRUE,1,0,1
NA,NA,1,10.5,1,1,4209.9199,60,0,0,0,0,FALSE,1,0,1
4100,1800,0,10.5,0,2,6411.6499,58,1,0,4100,1800,TRUE,1,0,1
1300,920,0,15,0,4,44.84,62,1,0,1300,920,TRUE,1,0,1
3200,2200,1,12,0,4,19.77,61,1,0,3200,2200,TRUE,1,0,1
NA,NA,0,13,1,4,70.089996,27,0,0,0,0,FALSE,1,0,1
300,300,1,10,1,4,56.830002,22,1,0,300,300,TRUE,1,0,1
1949,1398,0,10.5,0,3,3905.48,62,1,0,1949,1398,TRUE,1,0,1
650,650,1,11.5,0,3,3904.8999,54,1,0,650,650,TRUE,1,0,1
NA,NA,0,10.5,1,1,7870.25,60,0,0,0,0,FALSE,1,0,1
250,250,1,10,0,2,1113.01,38,1,0,250,250,TRUE,1,0,1
1800,1100,1,10.5,0,2,1810.78,52,1,0,1800,1100,TRUE,1,0,1
4200,2800,0,11.5,0,3,2550.9099,53,1,0,4200,2800,TRUE,1,0,1
4000,2800,0,10.5,0,2,3331.3,58,1,0,4000,2800,TRUE,1,0,1
450,450,1,11,0,2,2723.6201,57,1,0,450,450,TRUE,1,0,1
NA,NA,1,11.5,0,3,142.16,60,0,0,0,0,FALSE,1,0,1
2400,1800,1,10,0,3,449.04999,45,1,0,2400,1800,TRUE,1,0,1
2200,1400,1,15,1,4,61.880001,59,1,0,2200,1400,TRUE,1,0,1
600,600,0,13,1,1,52.09,30,1,0,600,600,TRUE,1,0,1
480,480,1,18,1,1,140.39,26,1,0,480,480,TRUE,1,0,1
3500,2900,0,11.5,0,3,324.76001,59,1,0,3500,2900,TRUE,1,0,1
580,445,1,13,0,3,265.51999,60,1,0,580,445,TRUE,1,0,1
700,400,1,12,0,2,573.51001,62,1,0,700,400,TRUE,1,0,1
NA,NA,0,10.5,0,2,1910.39,64,0,0,0,0,FALSE,1,0,1
350,350,1,12,1,1,3476.45,65,1,0,350,350,TRUE,1,0,1
2200,180,1,11.5,0,3,1132.55,56,1,0,2200,180,TRUE,1,0,1
2100,1800,0,16,0,4,679.35999,47,1,0,2100,1800,TRUE,1,0,1
2100,1300,0,14,0,4,1259.49,62,1,0,2100,1300,TRUE,1,0,1
2500,1650,0,13.5,1,4,2439.3201,32,1,0,2500,1650,TRUE,1,0,1
2350,1530,0,11.5,1,4,1794.78,21,1,0,2350,1530,TRUE,1,0,1
4300,2600,0,12,1,1,2945.1499,50,1,0,4300,2600,TRUE,1,0,1
1600,950,1,10.5,0,2,3559.95,60,1,0,1600,950,TRUE,1,0,1
4700,3300,0,15,0,2,0,32,1,0,4700,3300,TRUE,1,0,1
1925,1040,1,14.5,0,4,324.75,48,1,0,1925,1040,TRUE,1,0,1
3500,1980,0,10.5,1,1,3420.3899,55,1,0,3500,1980,TRUE,1,0,1
4800,3400,0,15,0,4,3296.1799,45,1,0,4800,3400,TRUE,1,0,1
3249,2440,1,12,0,4,520.56,40,1,0,3249,2440,TRUE,1,0,1
NA,NA,1,15,0,4,896.47998,38,0,0,0,0,FALSE,1,0,1
2800,1800,1,13,0,3,432.35999,40,1,0,2800,1800,TRUE,1,0,1
2700,2200,0,15,1,1,530.04999,28,1,0,2700,2200,TRUE,1,0,1
1800,1094,1,12,0,4,43.25,51,1,0,1800,1094,TRUE,1,0,1
800,600,1,9,0,4,650.16998,47,1,0,800,600,TRUE,1,0,1
NA,NA,1,10.5,1,2,1457.27,38,0,0,0,0,FALSE,1,0,1
3600,1900,0,14.5,1,1,1970.72,40,1,0,3600,1900,TRUE,1,0,1
1785,1036,1,14.5,0,4,753.10999,61,1,0,1785,1036,TRUE,1,0,1
NA,NA,0,14.5,1,4,1216.73,24,0,0,0,0,FALSE,1,0,1
1300,1100,0,13,1,4,1025.88,19,1,0,1300,1100,TRUE,1,0,1
NA,NA,1,12,0,2,5671,65,0,0,0,0,FALSE,1,0,1
4200,3200,1,18,1,4,1141.79,53,1,0,4200,3200,TRUE,1,0,1
3900,3400,0,12,0,3,181.19,61,1,0,3900,3400,TRUE,1,0,1
1900,1250,1,18,0,5,2391.24,47,1,0,1900,1250,TRUE,1,0,1
NA,NA,1,12,0,2,7750.5698,60,0,0,0,0,FALSE,1,0,1
NA,NA,0,10.5,0,2,8510.0898,64,0,0,0,0,FALSE,1,0,1
4000,2600,0,13.5,1,1,8022.4102,34,1,0,4000,2600,TRUE,1,0,1
1608,1467,1,18,0,2,3614.51,31,1,0,1608,1467,TRUE,1,0,1
2397,2030,0,13.5,0,3,8495.5498,40,1,0,2397,2030,TRUE,1,0,1
3700,2200,1,11.5,1,1,2320.45,54,1,0,3700,2200,TRUE,1,0,1
NA,NA,1,12,0,2,7564.3398,65,0,0,0,0,FALSE,1,0,1
NA,NA,1,11.5,0,4,8564.1504,52,0,0,0,0,FALSE,1,0,1
NA,NA,0,11,0,2,1862.85,65,0,0,0,0,FALSE,1,0,1
NA,NA,1,10.5,0,2,1643.08,62,0,0,0,0,FALSE,1,0,1
NA,NA,1,11.5,0,5,3369.7,34,0,0,0,0,FALSE,1,0,1
NA,NA,1,10,1,2,213.03,58,0,1,0,0,FALSE,1,0,1
1500,1050,1,16,0,4,146.46001,46,1,0,1500,1050,TRUE,1,0,1
2921,1900,0,11.5,1,1,6933.0698,47,1,0,2921,1900,TRUE,1,0,1
1800,1250,1,15,0,4,268.67001,45,1,0,1800,1250,TRUE,1,0,1
NA,NA,1,18,1,1,6038.0098,62,0,0,0,0,FALSE,1,0,1
1600,1178,1,11.5,1,2,7487.6802,60,1,0,1600,1178,TRUE,1,0,1
2800,1800,1,16,1,2,11914.07,27,1,0,2800,1800,TRUE,1,0,1
2200,1608,0,12,0,2,8996.3701,38,1,0,2200,1608,TRUE,1,0,1
1450,1120,1,12,1,4,345.91,45,1,0,1450,1120,TRUE,1,0,1
4609,3450,1,18,0,2,7322.6499,36,1,0,4609,3450,TRUE,1,0,1
2675,1455,1,11.5,0,3,1003.65,53,1,0,2675,1455,TRUE,1,0,1
800,550,1,15,0,3,3985.3899,54,1,0,800,550,TRUE,1,0,1
3400,2000,0,10.5,1,1,1493.7,49,1,0,3400,2000,TRUE,1,0,1
3900,2400,0,11.5,0,4,648.31,54,1,0,3900,2400,TRUE,1,0,1
1026,702,1,11.5,0,4,4100,40,1,0,1026,702,TRUE,1,0,1
NA,NA,0,11.5,1,2,2133.6299,60,0,0,0,0,FALSE,1,0,1
NA,NA,1,11.5,0,2,512.51001,63,0,0,0,0,FALSE,1,0,1
2800,2300,1,18,0,4,5106.2402,33,1,0,2800,2300,TRUE,1,0,1
4000,2500,0,11.5,1,2,244.07001,61,1,0,4000,2500,TRUE,1,0,1
400,400,0,14.5,1,2,347.81,25,1,0,400,400,TRUE,1,0,1
3000,2400,0,10.5,0,3,9009.79,59,1,0,3000,2400,TRUE,1,0,1
1349,921,1,12,0,3,7366.25,59,1,0,1349,921,TRUE,1,0,1
NA,NA,1,10.5,0,4,785.32001,55,0,0,0,0,FALSE,1,0,1
3200,2400,1,11,0,2,8677.1602,55,1,0,3200,2400,TRUE,1,0,1
2000,1500,0,11.5,1,2,1208.88,62,1,0,2000,1500,TRUE,1,0,1
4200,2600,0,18,0,3,2204.47,37,1,0,4200,2600,TRUE,1,0,1
4500,2325,1,18,0,2,1660.46,30,1,0,4500,2325,TRUE,1,0,1
3400,2750,1,13,1,1,181.92999,60,1,0,3400,2750,TRUE,1,0,1
3801,1850,1,12,0,2,801.69,57,1,0,3801,1850,TRUE,1,0,1
NA,NA,1,11.5,0,2,6689.8398,64,0,1,0,0,FALSE,1,0,1
NA,NA,1,18,1,1,6753.0601,51,0,0,0,0,FALSE,1,0,1
3851,2648,1,12,0,5,2354.4199,52,1,0,3851,2648,TRUE,1,0,1
2869,1829,1,13.5,1,5,2414.45,29,1,0,2869,1829,TRUE,1,0,1
2500,2100,1,10,1,2,3160.53,49,1,0,2500,2100,TRUE,1,0,1
3100,2200,0,12,0,2,462.16,55,1,0,3100,2200,TRUE,1,0,1
3500,2400,0,13.5,0,3,1293.49,52,1,0,3500,2400,TRUE,1,0,1
3000,2000,0,18,1,1,2951.1399,33,1,0,3000,2000,TRUE,1,0,1
3800,2000,0,18,1,4,781.87,36,1,0,3800,2000,TRUE,1,0,1
NA,NA,1,14.5,1,4,653.87,37,0,0,0,0,FALSE,1,0,1
4400,3000,0,14.5,0,4,10125.1,48,1,0,4400,3000,TRUE,1,0,1
1835,1006,1,13,0,4,7888.71,45,1,0,1835,1006,TRUE,1,0,1
2850,1800,1,12,1,1,46.599998,60,1,0,2850,1800,TRUE,1,0,1
2800,1800,0,10.5,1,1,2499.6399,52,1,0,2800,1800,TRUE,1,0,1
NA,NA,0,10.5,0,2,1393.22,64,0,0,0,0,FALSE,1,0,1
NA,NA,1,10.5,0,2,1228.85,62,0,0,0,0,FALSE,1,0,1
1546,1103,0,13.5,1,1,5065.8301,54,1,0,1546,1103,TRUE,1,0,1
4900,2400,1,18,0,4,962.16998,44,1,0,4900,2400,TRUE,1,0,1
1500,1200,1,15,0,5,501.25,41,1,0,1500,1200,TRUE,1,0,1
4800,3970,0,14,0,2,2156.96,61,1,0,4800,3970,TRUE,1,0,1
537,409,1,18,0,2,951.25,61,1,0,537,409,TRUE,1,0,1
445,445,1,18,1,2,1051.66,29,1,0,445,445,TRUE,1,0,1
NA,NA,0,12,0,2,191.32001,63,0,0,0,0,FALSE,1,0,1
3091,2039,1,12,0,2,348.48001,59,1,0,3091,2039,TRUE,1,0,1
4500,3000,0,14.5,0,4,404.92001,55,1,0,4500,3000,TRUE,1,0,1
3000,2000,1,11.5,1,2,425.95001,49,1,0,3000,2000,TRUE,1,0,1
3000,2100,1,12,0,4,405.23001,36,1,0,3000,2100,TRUE,1,0,1
4200,2600,1,13.5,1,3,2451.1899,44,1,0,4200,2600,TRUE,1,0,1
NA,NA,0,10.5,1,1,1036.5,62,0,0,0,0,FALSE,1,0,1
NA,NA,1,10.5,1,1,1813.1801,65,0,1,0,0,FALSE,1,0,1
NA,NA,1,15,0,3,829.34003,48,0,1,0,0,FALSE,1,0,1
